Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
F09,#262,2,1,0,HDR,12.35,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,246.91,,,14.34,10.36,14178,148,14030,59,184,89,"13,846.00",4.81,1.82,,,2.19,1.45,3,,940.16,,,longREF,0.61,,,0.73,0.48,37.77,,,42.58,32.97,"1,534.74",769.74,777.73,,,,,13.36,11.33,,,2.01,1.63,,,0.67,0.54,,,40.22,35.32
F09,#262,2,1,0,longREF,20.34,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,406.77,,,22.9,17.78,14178,243,13935,59,184,89,"13,846.00",4.81,,,,,,,,817.04,,,,,,,,,,,,,,"3,451.07",244.28,299.24,,,,,21.64,19.03,,,,,,,,,,,,
G09,#263,1,1,0,HDR,305.14,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,102.82",,,315.45,294.92,14939,3413,11526,"2,188.00","1,290.00","1,225.00","10,236.00",172.15,2.94,,,3.08,2.8,3,,"1,032.49",,,longREF,0.98,,,1.03,0.93,49.46,,,50.64,48.28,"1,556.13",774.22,952.85,,,,,310.39,299.91,,,3.01,2.87,,,1,0.96,,,50.06,48.86
G09,#263,1,1,0,longREF,311.79,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,235.89",,,322.23,301.45,14939,3478,11461,"2,188.00","1,290.00","1,225.00","10,236.00",172.15,,,,,,,,925.24,,,,,,,,,,,,,,"3,378.67",245.82,975.19,,,,,317.11,306.5,,,,,,,,,,,,
H09,#264,,1,0,HDR,1.36,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,27.28,,,2.12,0.81,14673,17,14656,2,13,15,"14,643.00",0.16,3.4,,,5.79,1.01,3,,924.48,,,longREF,1.13,,,1.93,0.34,53.13,,,70.64,35.62,"1,316.65",763.82,764.46,,,,,1.72,1.06,,,4.61,2.19,,,1.54,0.73,,,61.97,44.29
H09,#264,,1,0,longREF,1.2,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,24.07,,,1.92,0.69,14673,15,14658,2,13,15,"14,643.00",0.16,,,,,,,,820.36,,,,,,,,,,,,,,"3,501.87",240.1,243.43,,,,,1.54,0.92,,,,,,,,,,,,
A10,#265,2,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14292,0,14292,0,0,0,"14,292.00",0,,,,,,,,,,,,,,,,,,,,,,0,687.86,687.86,,,,,,,,,,,,,,,,,,
A10,#265,2,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,14292,0,14292,0,0,0,"14,292.00",0,,,,,,,,,,,,,,,,,,,,,,0,213.57,213.57,,,,,,,,,,,,,,,,,,
B10,#266,3,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13828,0,13828,0,0,0,"13,828.00",0,,,,,,,,,,,,,,,,,,,,,,0,714.1,714.1,,,,,,,,,,,,,,,,,,
B10,#266,3,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,13828,0,13828,0,0,0,"13,828.00",0,,,,,,,,,,,,,,,,,,,,,,0,226.25,226.25,,,,,,,,,,,,,,,,,,
C10,#267,2,1,0,HDR,43.04,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,860.79,,,46.46,39.63,16981,610,16371,287,"1,295.00",323,"15,076.00",18.1,1.12,,,1.23,1.02,3,,943.36,,,longREF,0.37,,,0.41,0.34,27.22,,,29.08,25.37,"1,399.15",744.61,768.12,,,,,44.78,41.3,,,1.18,1.07,,,0.39,0.36,,,28.17,26.28
C10,#267,2,1,0,longREF,115.05,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,301.00",,,120.74,109.39,16981,1582,15399,287,"1,295.00",323,"15,076.00",18.1,,,,,,,,888.14,,,,,,,,,,,,,,"3,114.37",235.55,503.75,,,,,117.95,112.16,,,,,,,,,,,,
D10,#268,2,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14677,0,14677,0,0,0,"14,677.00",0,,,,,,,,,,,,,,,,,,,,,,0,698.84,698.84,,,,,,,,,,,,,,,,,,
D10,#268,2,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,14677,0,14677,0,0,0,"14,677.00",0,,,,,,,,,,,,,,,,,,,,,,0,225.24,225.24,,,,,,,,,,,,,,,,,,
E10,#269,2,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,13089,0,13089,0,0,0,"13,089.00",0,,,,,,,,,,,,,,,,,,,,,,0,687.47,687.47,,,,,,,,,,,,,,,,,,
E10,#269,2,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,13089,0,13089,0,0,0,"13,089.00",0,,,,,,,,,,,,,,,,,,,,,,0,222.94,222.94,,,,,,,,,,,,,,,,,,
F10,#270,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14229,0,14229,0,0,0,"14,229.00",0,,,,,,,,,,,,,,,,,,,,,,0,758.06,758.06,,,,,,,,,,,,,,,,,,
F10,#270,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,14229,0,14229,0,0,0,"14,229.00",0,,,,,,,,,,,,,,,,,,,,,,0,239.22,239.22,,,,,,,,,,,,,,,,,,
G10,#271,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14667,0,14667,0,0,0,"14,667.00",0,,,,,,,,,,,,,,,,,,,,,,0,726.89,726.89,,,,,,,,,,,,,,,,,,
G10,#271,1,1,1,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,14667,0,14667,0,0,0,"14,667.00",0,,,,,,,,,,,,,,,,,,,,,,0,236.6,236.6,,,,,,,,,,,,,,,,,,
H10,#272,1,1,1,HDR,318.01,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,360.16",,,328.6,307.51,14853,3518,11335,"2,169.00","1,275.00","1,349.00","10,060.00",169.97,3.07,,,3.22,2.93,3,,"1,002.90",,,longREF,1.02,,,1.07,0.98,50.61,,,51.79,49.43,"1,518.42",770.31,947.51,,,,,323.4,312.64,,,3.15,3,,,1.05,1,,,51.21,50.01
H10,#272,1,1,1,longREF,310.35,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,207.04",,,320.79,300,14853,3444,11409,"2,169.00","1,275.00","1,349.00","10,060.00",169.97,,,,,,,,947.12,,,,,,,,,,,,,,"3,244.20",244.23,939.84,,,,,315.67,305.06,,,,,,,,,,,,
A11,#273,1,1,0,HDR,4.95,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,99.02,,,6.2,3.88,16907,71,16836,0,110,71,"16,726.00",0,1.93,,,2.51,1.36,3,,,,,longREF,0.64,,,0.84,0.45,39.2,,,46.33,32.07,"1,627.32",718.75,722.57,,,,,5.56,4.39,,,2.23,1.64,,,0.74,0.55,,,42.82,35.57
A11,#273,1,1,0,longREF,7.68,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,153.59,,,9.12,6.25,16907,110,16797,0,110,71,"16,726.00",0,,,,,,,,800.43,,,,,,,,,,,,,,"3,256.94",217.94,237.71,,,,,8.41,6.95,,,,,,,,,,,,
B11,#274,1,1,1,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14437,0,14437,0,0,0,"14,437.00",0,,,,,,,,,,,,,,,,,,,,,,0,678.24,678.24,,,,,,,,,,,,,,,,,,
B11,#274,1,1,1,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,14437,0,14437,0,0,0,"14,437.00",0,,,,,,,,,,,,,,,,,,,,,,0,216.09,216.09,,,,,,,,,,,,,,,,,,
C11,#275,3,1,0,HDR,136.69,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"2,733.75",,,142.96,130.44,16720,1834,14886,423,807,"1,411.00","14,079.00",24.32,4.56,,,4.89,4.23,3,,968.22,,,longREF,1.52,,,1.63,1.41,60.33,,,62.06,58.6,"1,572.90",727.91,820.59,,,,,139.89,133.5,,,4.73,4.39,,,1.58,1.46,,,61.21,59.44
