Well,Sample,T7,singleColony,imaging,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
C07,#339,,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,14506,0,14506,0,0,0,"14,506.00",0,,,,,,,,,,,,,,,,,,,,,,0,693.74,693.74,,,,,,,,,,,,,,,,,,
D07,#340,1,1,0,longREF,326.24,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"6,524.87",,,336.28,316.29,17004,4118,12886,"1,765.00","2,353.00","2,118.00","10,768.00",93.73,,,,,,,,966.03,,,,,,,,,,,,,,"3,520.02",241.71,"1,035.65",,,,,331.36,321.15,,,,,,,,,,,,
D07,#340,1,1,0,HDR,304.98,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"6,099.64",,,314.64,295.4,17004,3883,13121,"1,765.00","2,353.00","2,118.00","10,768.00",93.73,2.8,,,2.93,2.68,3,,951.03,,,longREF,0.93,,,0.98,0.89,48.32,,,49.41,47.22,"1,500.94",717.69,896.55,,,,,309.9,300.08,,,2.87,2.74,,,0.96,0.91,,,48.88,47.76
E07,#341,,1,0,longREF,5.5,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,109.96,,,6.8,4.38,17159,80,17079,3,77,60,"17,019.00",0.19,,,,,,,,846.02,,,,,,,,,,,,,,"3,251.16",237.19,251.24,,,,,6.13,4.91,,,,,,,,,,,,
E07,#341,,1,0,HDR,4.33,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,86.55,,,5.49,3.34,17159,63,17096,3,77,60,"17,019.00",0.19,2.36,,,3.14,1.58,3,,850.32,,,longREF,0.79,,,1.05,0.53,44.04,,,52.22,35.87,"1,387.33",711.46,713.94,,,,,4.89,3.81,,,2.76,1.96,,,0.92,0.65,,,48.19,39.9
F07,#342,3,1,0,longREF,395.55,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"7,911.04",,,406.66,384.55,17392,4966,12426,496,"4,470.00","1,176.00","11,250.00",1.95,,,,,,,,944.92,,,,,,,,,,,,,,"3,656.25",237.44,"1,213.63",,,,,401.21,389.93,,,,,,,,,,,,
F07,#342,3,1,0,HDR,118.91,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"2,378.27",,,124.63,113.22,17392,1672,15720,496,"4,470.00","1,176.00","11,250.00",1.95,0.9,,,0.95,0.85,3,,932.68,,,longREF,0.3,,,0.32,0.28,23.11,,,24.1,22.13,"1,511.80",709.44,786.57,,,,,121.83,116.01,,,0.93,0.88,,,0.31,0.29,,,23.62,22.61
G07,#343,2,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,6862,80,6782,0,80,0,"6,782.00",0,,,,,,,,791.77,,,,,,,,,,,,,,"3,300.03",204.52,240.61,,,,,,,,,,,,,,,,,,
G07,#343,2,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,6862,0,6862,0,80,0,"6,782.00",0,,,,,,,,,,,,,,,,,,,,,,0,611.72,611.72,,,,,,,,,,,,,,,,,,
H07,#344,1,1,1,longREF,142.78,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"2,855.55",,,149.59,136.01,14875,1700,13175,445,"1,255.00",689,"12,486.00",30.1,,,,,,,,910.79,,,,,,,,,,,,,,"3,624.83",242.31,628.88,,,,,146.25,139.32,,,,,,,,,,,,
H07,#344,1,1,1,HDR,93.29,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,865.83",,,98.74,87.87,14875,1134,13741,445,"1,255.00",689,"12,486.00",30.1,1.96,,,2.11,1.81,3,,950.55,,,longREF,0.65,,,0.7,0.6,39.52,,,41.32,37.72,"1,532.26",719.14,781.13,,,,,96.07,90.52,,,2.04,1.89,,,0.68,0.63,,,40.44,38.6
A09,#353,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,16522,0,16522,0,0,0,"16,522.00",0,,,,,,,,,,,,,,,,,,,,,,0,241.41,241.41,,,,,,,,,,,,,,,,,,
A09,#353,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,16522,0,16522,0,0,0,"16,522.00",0,,,,,,,,,,,,,,,,,,,,,,0,724.35,724.35,,,,,,,,,,,,,,,,,,
B09,#354,3,1,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,11229,0,11229,0,0,0,"11,229.00",0,,,,,,,,,,,,,,,,,,,,,,0,228.99,228.99,,,,,,,,,,,,,,,,,,
B09,#354,3,1,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,11229,0,11229,0,0,0,"11,229.00",0,,,,,,,,,,,,,,,,,,,,,,0,664.01,664.01,,,,,,,,,,,,,,,,,,
C09,#355,,,0,longREF,No Call,CHECK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,4531,0,4531,0,0,0,"4,531.00",0,,,,,,,,,,,,,,,,,,,,,,0,202.42,202.42,,,,,,,,,,,,,,,,,,
C09,#355,,,0,HDR,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,4531,0,4531,0,0,0,"4,531.00",0,,,,,,,,,,,,,,,,,,,,,,0,597.56,597.56,,,,,,,,,,,,,,,,,,
D09,#356,2,1,0,longREF,161.68,OK,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),FAM,"3,233.62",,,169.79,153.63,12009,1542,10467,258,"1,284.00",640,"9,827.00",17.21,,,,,,,,943.1,,,,,,,,,,,,,,"3,693.37",239.97,683.4,,,,,165.81,157.57,,,,,,,,,,,,
D09,#356,2,1,0,HDR,91.44,OK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,"1,828.72",,,97.43,85.47,12009,898,11111,258,"1,284.00",640,"9,827.00",17.21,1.7,,,1.84,1.56,3,,968.61,,,longREF,0.57,,,0.61,0.52,36.12,,,38.02,34.22,"1,554.99",708.27,771.59,,,,,94.49,88.39,,,1.77,1.63,,,0.59,0.54,,,37.09,35.15
